name,image,column,row
Công Ty Cổ Phần Viễn Thông FPT,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B%E1%BA%A1c_FPT_A5.png,A,5
COCONUT HƠN CẢ DỪA,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B%E1%BA%A1c_COCONUT_L4.jpeg,L,4
Khách sạn Như Minh Plaza Đà Nẵng,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B%E1%BA%A1c_NMP%20-%20Nhu%20Minh%20Plaza%20Danang%20Hotel_B5.png,B,5
Nhà hàng Galina Đà Nẵng,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B%E1%BA%A1c_Nh%C3%A0%20h%C3%A0ng%20Galina%20%C4%90%C3%A0%20N%E1%BA%B5ng_I6.png,I,6
KOI Resort & Residence Đà Nẵng,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B%E1%BA%A1c_KOI%20DANANG%20RESIDENCE_J6.png,J,6
43 TOWN - CULINARY DELIGHTS IN ONE PLACE,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B%E1%BA%A1c_43%20Town_K4.png,K,4
CENTRE POINT Danang Hotel & Residence,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B%E1%BA%A1c_CP%20%C4%90EN%20-%20%C4%90%C3%A0%20N%E1%BA%B5ng%20Centre%20Point_F6.png,F,6
Hệ thống nhà hàng Sen Huế,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B%E1%BA%A1c_H%E1%BB%87%20th%E1%BB%91ng%20nh%C3%A0%20h%C3%A0ng%20Sen%20Hu%E1%BA%BF_B4.jpeg,B,4
ROBINSON NAM HOI AN,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B%E1%BA%A1c_ROBINSON_G2.jpg,G,2
Mường Thanh Hospitality,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B%E1%BA%A1c_M%C6%B0%E1%BB%9Dng%20Thanh_K6.png,K,6
SILK SENSE HOI AN RIVER RESORT,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B%E1%BA%A1c_Silk%20Sense%20Hoi%20An%20River%20Resort_D6.png,D,6
Smart lock & Access Control Hệ thống kiểm soát ra vào,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B%E1%BA%A1c_DUOLUX%20-%20Smart%20lock%20%26%20Access%20Control%20H%E1%BB%87%20th%E1%BB%91ng%20ki%E1%BB%83m%20so%C3%A1t%20ra%20v%C3%A0o_C3.png,C,3
Công ty VKSTAR - ÁO DÀI SHOW,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B%E1%BA%A1c_C%C3%B4ng%20ty%20VKSTAR-%C3%81O%20D%C3%80I%20SHOW_M1.jpg,M,1
Nhà tài trợ ĐồngCÔNG TY TNHH LIÊN HỢP VẬN TẢI VÀ DU LỊCH VI.TRA.CO,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng_C%C3%94NG%20TY%20TNHH%20LI%C3%8AN%20H%E1%BB%A2P%20V%E1%BA%ACN%20T%E1%BA%A2I%20V%C3%80%20DU%20L%E1%BB%8ACH%20VITRACO_K7.png,K,7
CÔNG TY TNHH LIÊN HỢP VẬN TẢI VÀ DU LỊCH VI.TRA.CO,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng_C%C3%94NG%20TY%20TNHH%20LI%C3%8AN%20H%E1%BB%A2P%20V%E1%BA%ACN%20T%E1%BA%A2I%20V%C3%80%20DU%20L%E1%BB%8ACH%20VITRACO_K7.png,K,7
Vietnam Travelmart,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng_Vi%E1%BB%87t%20Nam%20TravelMart_B3.png,B,3
Thiên Hương Travel,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng_Thi%C3%AAn%20H%C6%B0%C6%A1ng%20Travel_G7.jpeg,G,7
Công ty TNHH Phan Văn,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng_C%C3%B4ng%20ty%20TNHH%20Phan%20V%C4%83n_L3.jpg,L,3
